Stimulus,Target,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,start.started,text.started,key_resp.started,start.stopped,key_resp.keys,key_resp.rt,key_resp.duration,explicacion.started,text_2.started,text_2.stopped,explicacion.stopped,stimuli.started,figura.started,key_resp_2.started,figura.stopped,stimuli.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,isi.started,polygon.started,polygon.stopped,isi.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,0.026841300000342017,0.043767400000433554,0.043767400000433554,2.1899357000002055,return,2.13760529999945,None,,,,,,,,,,,,,,,,,1,001,2024-02-26_12h17.14.201,ssr_1,2023.2.3,60.11255474751757,2024-02-26 12h17.18.993486 +0100,
9.png,0,0,0,0,8,3.2404498000005333,,,,,,,,,2.1899553000002925,2.2065981000005195,3.2404498000005333,3.1898423000002367,3.1955997000004572,3.2404498000005333,3.2404498000005333,5.239422900000136,10.340065500000492,space,7.09451160000026,None,10.340448099999776,10.35577530000046,10.856125600000269,10.839569900000242,1,001,2024-02-26_12h17.14.201,ssr_1,2023.2.3,60.11255474751757,2024-02-26 12h17.18.993486 +0100,
4.png,0,0,1,1,3,10.856125600000269,,,,,,,,,,,,,10.839848800000254,10.856125600000269,10.856125600000269,,11.723216200000024,space,0.849721700000373,None,11.723453399999926,11.738877400000092,12.239177299999938,12.222830600000634,1,001,2024-02-26_12h17.14.201,ssr_1,2023.2.3,60.11255474751757,2024-02-26 12h17.18.993486 +0100,
12.png,0,0,2,2,11,12.239177299999938,,,,,,,,,,,,,12.223073199999817,12.239177299999938,12.239177299999938,,12.706974300000184,space,0.46641339999951015,None,12.707239500000469,12.722591300000204,13.22265950000019,13.206161900000552,1,001,2024-02-26_12h17.14.201,ssr_1,2023.2.3,60.11255474751757,2024-02-26 12h17.18.993486 +0100,
7.png,0,0,3,3,6,13.22265950000019,,,,,,,,,,,,,13.206391000000622,13.22265950000019,13.22265950000019,,13.52289920000021,space,0.2855493999995815,None,13.523152900000241,13.53839169999992,14.040112100000442,14.024031300000388,1,001,2024-02-26_12h17.14.201,ssr_1,2023.2.3,60.11255474751757,2024-02-26 12h17.18.993486 +0100,
,,,,,,14.040112100000442,,,,,,,,,,,,,14.024298400000589,14.040112100000442,14.040112100000442,,,,,,,,,,,,,,,,,
