Stimulus,Target,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,start.started,text.started,key_resp.started,start.stopped,key_resp.keys,key_resp.rt,key_resp.duration,explicacion.started,text_2.started,text_2.stopped,explicacion.stopped,stimuli.started,figura.started,key_resp_2.started,stimuli.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,figura.stopped,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
9.png,0,0,16,16,8,9.896592899982352,,,,,,,,,,,,,9.868896100000711,9.896592899982352,9.896592899982352,10.002005299989833,space,0.1012079999782145,None,,,1,001,2024-02-28_13h07.15.206,ssr_1,2023.2.3,60.02188397433952,2024-02-28 13h07.21.484525 +0100,
22.png,0,0,17,17,21,10.029381399974227,,,,,,,,,,,,,10.002399899996817,10.029381399974227,10.029381399974227,10.168832399998792,space,0.1332669999974314,None,,,1,001,2024-02-28_13h07.15.206,ssr_1,2023.2.3,60.02188397433952,2024-02-28 13h07.21.484525 +0100,
16.png,0,0,18,18,15,10.196436799975345,,,,,,,,,,,,,10.169176699972013,10.196436799975345,10.196436799975345,10.33575529998052,space,0.1360469000064768,None,,,1,001,2024-02-28_13h07.15.206,ssr_1,2023.2.3,60.02188397433952,2024-02-28 13h07.21.484525 +0100,
1.png,1,0,19,19,28,10.35154629999306,,,,,,,,,,,,,10.336160599981667,10.35154629999306,10.35154629999306,10.501917799992952,space,0.13838050002232194,None,,,1,001,2024-02-28_13h07.15.206,ssr_1,2023.2.3,60.02188397433952,2024-02-28 13h07.21.484525 +0100,
13.png,0,0,20,20,12,10.529473699978553,,,,,,,,,,,,,10.502291799988598,10.529473699978553,10.529473699978553,10.686030099983327,space,0.15169479997712187,None,,,1,001,2024-02-28_13h07.15.206,ssr_1,2023.2.3,60.02188397433952,2024-02-28 13h07.21.484525 +0100,
2.png,1,0,21,21,31,10.701335599995218,,,,,,,,,,,,,10.686383399995975,10.701335599995218,10.701335599995218,10.835282699990785,space,0.12397419998887926,None,,,1,001,2024-02-28_13h07.15.206,ssr_1,2023.2.3,60.02188397433952,2024-02-28 13h07.21.484525 +0100,
1.png,1,0,22,22,27,10.851421999977902,,,,,,,,,,,,,10.83569319997332,10.851421999977902,10.851421999977902,11.168737199972384,space,0.3142029000155162,None,,,1,001,2024-02-28_13h07.15.206,ssr_1,2023.2.3,60.02188397433952,2024-02-28 13h07.21.484525 +0100,
24.png,0,0,23,23,23,11.196212999988347,,,,,,,,,,,,,11.169111399998656,11.196212999988347,11.196212999988347,11.468840399989858,space,0.2647968000092078,None,,,1,001,2024-02-28_13h07.15.206,ssr_1,2023.2.3,60.02188397433952,2024-02-28 13h07.21.484525 +0100,
1.png,1,0,24,24,26,11.484444299974712,,,,,,,,,,,,,11.46921789998305,11.484444299974712,11.484444299974712,11.651962799980538,space,0.16623870001058094,None,,,1,001,2024-02-28_13h07.15.206,ssr_1,2023.2.3,60.02188397433952,2024-02-28 13h07.21.484525 +0100,
2.png,1,0,25,25,32,11.667404599982547,,,,,,,,,,,,,11.65232309998828,11.667404599982547,11.667404599982547,11.86906899997848,space,0.19795930001419038,None,,,1,001,2024-02-28_13h07.15.206,ssr_1,2023.2.3,60.02188397433952,2024-02-28 13h07.21.484525 +0100,
