Stimulus,Target,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,start.started,text.started,key_resp.started,start.stopped,key_resp.keys,key_resp.rt,key_resp.duration,explicacion.started,text_2.started,text_2.stopped,explicacion.stopped,stimuli.started,figura.started,key_resp_2.started,stimuli.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,figura.stopped,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,0.02907610000056593,0.04595010000048205,0.04595010000048205,1.3084521000000677,return,1.2530526999998983,None,,,,,,,,,,,,,,1,001,2024-02-26_12h20.55.339,ssr_1,2023.2.3,60.01503976897043,2024-02-26 12h21.00.486289 +0100,
2.png,1,0,0,0,34,2.357075900000382,,,,,,,,,1.3084765000003244,1.324079700000766,2.357075900000382,2.3078451000001223,2.3143158000002586,2.357075900000382,2.357075900000382,3.3240502000007837,None,,,,,1,001,2024-02-26_12h20.55.339,ssr_1,2023.2.3,60.01503976897043,2024-02-26 12h21.00.486289 +0100,
20.png,0,0,1,1,19,3.3406744000003528,,,,,,,,,,,,,3.324540900000102,3.3406744000003528,3.3406744000003528,4.324018400000568,None,,,,,1,001,2024-02-26_12h20.55.339,ssr_1,2023.2.3,60.01503976897043,2024-02-26 12h21.00.486289 +0100,
9.png,0,0,2,2,8,4.340714600000865,,,,,,,,,,,,,4.324316600000202,4.340714600000865,4.340714600000865,5.324312000000646,None,,,,,1,001,2024-02-26_12h20.55.339,ssr_1,2023.2.3,60.01503976897043,2024-02-26 12h21.00.486289 +0100,
24.png,0,0,3,3,23,5.340833200000816,,,,,,,,,,,,,5.3245957000008275,5.340833200000816,5.340833200000816,6.323748300000261,None,,,,,1,001,2024-02-26_12h20.55.339,ssr_1,2023.2.3,60.01503976897043,2024-02-26 12h21.00.486289 +0100,
16.png,0,0,4,4,15,6.340660300000309,,,,,,,,,,,,,6.324054500000784,6.340660300000309,6.340660300000309,7.323734100000365,None,,,,,1,001,2024-02-26_12h20.55.339,ssr_1,2023.2.3,60.01503976897043,2024-02-26 12h21.00.486289 +0100,
1.png,1,0,5,5,26,7.340387400000509,,,,,,,,,,,,,7.324022300000252,7.340387400000509,7.340387400000509,7.991338000000724,space,0.6471062999999049,None,,,1,001,2024-02-26_12h20.55.339,ssr_1,2023.2.3,60.01503976897043,2024-02-26 12h21.00.486289 +0100,
2.png,1,0,6,6,32,8.006693199999972,,,,,,,,,,,,,7.991882700000133,8.006693199999972,8.006693199999972,8.5578172000005,space,0.5376358000003165,None,,,1,001,2024-02-26_12h20.55.339,ssr_1,2023.2.3,60.01503976897043,2024-02-26 12h21.00.486289 +0100,
1.png,1,0,7,7,25,8.573656700000356,,,,,,,,,,,,,8.558199800000693,8.573656700000356,8.573656700000356,9.125232000000324,space,0.5338245000002644,None,,,1,001,2024-02-26_12h20.55.339,ssr_1,2023.2.3,60.01503976897043,2024-02-26 12h21.00.486289 +0100,
21.png,0,0,8,8,20,9.140155800000684,,,,,,,,,,,,,9.125595800000156,9.140155800000684,9.140155800000684,10.124400500000775,None,,,10.140203400000246,10.140203400000246,1,001,2024-02-26_12h20.55.339,ssr_1,2023.2.3,60.01503976897043,2024-02-26 12h21.00.486289 +0100,
