Stimulus,Target,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,start.started,text.started,key_resp.started,start.stopped,key_resp.keys,key_resp.rt,key_resp.duration,explicacion.started,text_2.started,text_2.stopped,explicacion.stopped,stimuli.started,figura.started,key_resp_2.started,stimuli.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,figura.stopped,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,0.021962400000120397,0.040948300000309246,0.040948300000309246,1.7032562000003963,return,1.6541785999997956,None,,,,,,,,,,,,,,1,001,2024-02-26_12h18.55.396,ssr_1,2023.2.3,60.52821764960425,2024-02-26 12h19.00.172299 +0100,
15.png,0,0,0,0,14,2.7538752000000386,,,,,,,,,1.703278699999828,1.7185200000003533,2.7538752000000386,2.7024148999998943,2.708624200000486,2.7538752000000386,2.7538752000000386,3.7187286999997013,None,,,,,1,001,2024-02-26_12h18.55.396,ssr_1,2023.2.3,60.52821764960425,2024-02-26 12h19.00.172299 +0100,
10.png,0,0,1,1,9,3.735349800000222,,,,,,,,,,,,,3.7193828999998004,3.735349800000222,3.735349800000222,4.718740600000274,None,,,,,1,001,2024-02-26_12h18.55.396,ssr_1,2023.2.3,60.52821764960425,2024-02-26 12h19.00.172299 +0100,
6.png,0,0,2,2,5,4.735388799999782,,,,,,,,,,,,,4.719042499999887,4.735388799999782,4.735388799999782,5.6031762000002345,space,0.8637255000003279,None,,,1,001,2024-02-26_12h18.55.396,ssr_1,2023.2.3,60.52821764960425,2024-02-26 12h19.00.172299 +0100,
22.png,0,0,3,3,21,5.618928099999721,,,,,,,,,,,,,5.603697700000339,5.618928099999721,5.618928099999721,6.602197199999864,None,,,6.618919900000037,6.618919900000037,1,001,2024-02-26_12h18.55.396,ssr_1,2023.2.3,60.52821764960425,2024-02-26 12h19.00.172299 +0100,
21.png,0,0,4,4,20,6.618919900000037,,,,,,,,,,,,,6.602493500000492,6.618919900000037,6.618919900000037,7.6031730000004245,None,,,7.619205599999987,7.619205599999987,1,001,2024-02-26_12h18.55.396,ssr_1,2023.2.3,60.52821764960425,2024-02-26 12h19.00.172299 +0100,
11.png,0,0,5,5,10,7.619205599999987,,,,,,,,,,,,,7.603461900000184,7.619205599999987,7.619205599999987,8.602955199999997,None,,,8.619036799999776,8.619036799999776,1,001,2024-02-26_12h18.55.396,ssr_1,2023.2.3,60.52821764960425,2024-02-26 12h19.00.172299 +0100,
4.png,0,0,6,6,3,8.619036799999776,,,,,,,,,,,,,8.60322780000024,8.619036799999776,8.619036799999776,9.602023100000224,None,,,9.618284700000004,9.618284700000004,1,001,2024-02-26_12h18.55.396,ssr_1,2023.2.3,60.52821764960425,2024-02-26 12h19.00.172299 +0100,
24.png,0,0,7,7,23,9.618284700000004,,,,,,,,,,,,,9.602301500000067,9.618284700000004,9.618284700000004,10.60177769999973,None,,,10.61823910000021,10.61823910000021,1,001,2024-02-26_12h18.55.396,ssr_1,2023.2.3,60.52821764960425,2024-02-26 12h19.00.172299 +0100,
9.png,0,0,8,8,8,10.61823910000021,,,,,,,,,,,,,10.602066600000398,10.61823910000021,10.61823910000021,11.602534800000285,None,,,11.618793800000276,11.618793800000276,1,001,2024-02-26_12h18.55.396,ssr_1,2023.2.3,60.52821764960425,2024-02-26 12h19.00.172299 +0100,
17.png,0,0,9,9,16,11.618793800000276,,,,,,,,,,,,,11.602813600000445,11.618793800000276,11.618793800000276,12.601892700000462,None,,,12.618530900000223,12.618530900000223,1,001,2024-02-26_12h18.55.396,ssr_1,2023.2.3,60.52821764960425,2024-02-26 12h19.00.172299 +0100,
5.png,0,0,10,10,4,12.618530900000223,,,,,,,,,,,,,12.602179000000433,12.618530900000223,12.618530900000223,13.60197700000026,None,,,13.618393200000355,13.618393200000355,1,001,2024-02-26_12h18.55.396,ssr_1,2023.2.3,60.52821764960425,2024-02-26 12h19.00.172299 +0100,
20.png,0,0,11,11,19,13.618393200000355,,,,,,,,,,,,,13.602317300000323,13.618393200000355,13.618393200000355,14.601704300000165,None,,,14.61842280000019,14.61842280000019,1,001,2024-02-26_12h18.55.396,ssr_1,2023.2.3,60.52821764960425,2024-02-26 12h19.00.172299 +0100,
19.png,0,0,12,12,18,14.61842280000019,,,,,,,,,,,,,14.601983000000473,14.61842280000019,14.61842280000019,15.60139750000053,None,,,15.61787490000006,15.61787490000006,1,001,2024-02-26_12h18.55.396,ssr_1,2023.2.3,60.52821764960425,2024-02-26 12h19.00.172299 +0100,
,,,,,,15.61787490000006,,,,,,,,,,,,,15.601689300000544,15.61787490000006,15.61787490000006,,,,,,,,,,,,,,
