Stimulus,Target,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,start.started,text.started,key_resp.started,start.stopped,key_resp.keys,key_resp.rt,key_resp.duration,explicacion.started,text_2.started,text_2.stopped,explicacion.stopped,stimuli.started,figura.started,key_resp_2.started,stimuli.stopped,key_resp_2.keys,figura.stopped,key_resp_2.stopped,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
13.png,0,0,28,28,12,62.67419360000349,,,,,,,,,,,,,62.659087000007275,62.67419360000349,62.67419360000349,62.84241440000187,space,,,0.15160180001112167,None,1,001,2024-03-04_12h03.11.917,ssr_1,2023.2.3,59.53858785428031,2024-03-04 12h03.18.415990 +0100,
1.png,1,0,29,29,28,62.85847730000387,,,,,,,,,,,,,62.84276930001215,62.85847730000387,62.85847730000387,63.02516400000604,space,,,0.1505646000005072,None,1,001,2024-03-04_12h03.11.917,ssr_1,2023.2.3,59.53858785428031,2024-03-04 12h03.18.415990 +0100,
23.png,0,0,30,30,22,63.041007100007846,,,,,,,,,,,,,63.02552020001167,63.041007100007846,63.041007100007846,63.20809470000677,space,,,0.15832059999229386,None,1,001,2024-03-04_12h03.11.917,ssr_1,2023.2.3,59.53858785428031,2024-03-04 12h03.18.415990 +0100,
4.png,0,0,31,31,3,63.2241808000108,,,,,,,,,,,,,63.208427300007315,63.2241808000108,63.2241808000108,63.40803869999945,space,,,0.16694910000660457,None,1,001,2024-03-04_12h03.11.917,ssr_1,2023.2.3,59.53858785428031,2024-03-04 12h03.18.415990 +0100,
19.png,0,0,32,32,18,63.424161200004164,,,,,,,,,,,,,63.40837940000347,63.424161200004164,63.424161200004164,63.591058100006194,space,,,0.15947610000148416,None,1,001,2024-03-04_12h03.11.917,ssr_1,2023.2.3,59.53858785428031,2024-03-04 12h03.18.415990 +0100,
2.png,1,0,33,33,35,63.6075123000046,,,,,,,,,,,,,63.59146900000633,63.6075123000046,63.6075123000046,63.79199850000441,space,,,0.17234250000910833,None,1,001,2024-03-04_12h03.11.917,ssr_1,2023.2.3,59.53858785428031,2024-03-04 12h03.18.415990 +0100,
7.png,0,0,34,34,6,63.80745020000904,,,,,,,,,,,,,63.79236960000708,63.80745020000904,63.80745020000904,64.0079521000007,space,,,0.1841615000012098,None,1,001,2024-03-04_12h03.11.917,ssr_1,2023.2.3,59.53858785428031,2024-03-04 12h03.18.415990 +0100,
3.png,0,0,35,35,2,64.02460960000462,,,,,,,,,,,,,64.00829240000166,64.02460960000462,64.02460960000462,64.22504070001014,space,,,0.1865752000012435,None,1,001,2024-03-04_12h03.11.917,ssr_1,2023.2.3,59.53858785428031,2024-03-04 12h03.18.415990 +0100,
6.png,0,0,36,36,5,64.24114969999937,,,,,,,,,,,,,64.2254227000085,64.24114969999937,64.24114969999937,64.42529300000751,space,,,0.1821263000019826,None,1,001,2024-03-04_12h03.11.917,ssr_1,2023.2.3,59.53858785428031,2024-03-04 12h03.18.415990 +0100,
5.png,0,0,37,37,4,64.44135520000418,,,,,,,,,,,,,64.42563789999986,64.44135520000418,64.44135520000418,64.99144190001243,space,,,0.5378498999925796,None,1,001,2024-03-04_12h03.11.917,ssr_1,2023.2.3,59.53858785428031,2024-03-04 12h03.18.415990 +0100,
23.png,0,1,0,38,22,65.0080033000122,,,,,,,,,,,,,64.99179660000664,65.0080033000122,65.0080033000122,65.65856580001127,space,,,0.6375444000004791,None,1,001,2024-03-04_12h03.11.917,ssr_1,2023.2.3,59.53858785428031,2024-03-04 12h03.18.415990 +0100,
6.png,0,1,1,39,5,65.67459330000565,,,,,,,,,,,,,65.65890050001326,65.67459330000565,65.67459330000565,66.30834630000754,space,,,0.620145799999591,None,1,001,2024-03-04_12h03.11.917,ssr_1,2023.2.3,59.53858785428031,2024-03-04 12h03.18.415990 +0100,
7.png,0,1,2,40,6,66.32432930001232,,,,,,,,,,,,,66.30880920001073,66.32432930001232,66.32432930001232,66.72478709999996,space,,,0.38888630000292324,None,1,001,2024-03-04_12h03.11.917,ssr_1,2023.2.3,59.53858785428031,2024-03-04 12h03.18.415990 +0100,
4.png,0,1,3,41,3,66.74073320000025,,,,,,,,,,,,,66.72515560001193,66.74073320000025,66.74073320000025,67.10784520000743,space,,,0.3642297999904258,None,1,001,2024-03-04_12h03.11.917,ssr_1,2023.2.3,59.53858785428031,2024-03-04 12h03.18.415990 +0100,
5.png,0,1,4,42,4,67.12411760000396,,,,,,,,,,,,,67.10823280000477,67.12411760000396,67.12411760000396,67.4581720999995,space,,,0.3237241000024369,None,1,001,2024-03-04_12h03.11.917,ssr_1,2023.2.3,59.53858785428031,2024-03-04 12h03.18.415990 +0100,
1.png,1,1,5,43,30,67.4736491000076,,,,,,,,,,,,,67.45852710001054,67.4736491000076,67.4736491000076,67.77426540000306,space,,,0.28433000000950415,None,1,001,2024-03-04_12h03.11.917,ssr_1,2023.2.3,59.53858785428031,2024-03-04 12h03.18.415990 +0100,
1.png,1,1,6,44,29,67.79053650000424,,,,,,,,,,,,,67.7746072000009,67.79053650000424,67.79053650000424,68.15869450000173,space,,,0.36092849999840837,None,1,001,2024-03-04_12h03.11.917,ssr_1,2023.2.3,59.53858785428031,2024-03-04 12h03.18.415990 +0100,
2.png,1,1,7,45,34,68.17425560000993,,,,,,,,,,,,,68.15904790000059,68.17425560000993,68.17425560000993,68.55863370001316,space,,,0.37296900000364985,None,1,001,2024-03-04_12h03.11.917,ssr_1,2023.2.3,59.53858785428031,2024-03-04 12h03.18.415990 +0100,
19.png,0,1,8,46,18,68.57433070000843,,,,,,,,,,,,,68.55921260001196,68.57433070000843,68.57433070000843,68.80779770000663,space,,,0.2191546000103699,None,1,001,2024-03-04_12h03.11.917,ssr_1,2023.2.3,59.53858785428031,2024-03-04 12h03.18.415990 +0100,
20.png,0,1,9,47,19,68.82418550000875,,,,,,,,,,,,,68.80816100000811,68.82418550000875,68.82418550000875,69.0916040000011,space,,,0.25698629999533296,None,1,001,2024-03-04_12h03.11.917,ssr_1,2023.2.3,59.53858785428031,2024-03-04 12h03.18.415990 +0100,
21.png,0,1,10,48,20,69.10761750000529,,,,,,,,,,,,,69.09197130000393,69.10761750000529,69.10761750000529,69.35844120000547,space,,,0.24556399999710266,None,1,001,2024-03-04_12h03.11.917,ssr_1,2023.2.3,59.53858785428031,2024-03-04 12h03.18.415990 +0100,
2.png,1,1,11,49,37,69.37468580000859,,,,,,,,,,,,,69.35879110000678,69.37468580000859,69.37468580000859,69.625583800007,space,,,0.24324779999733437,None,1,001,2024-03-04_12h03.11.917,ssr_1,2023.2.3,59.53858785428031,2024-03-04 12h03.18.415990 +0100,
2.png,1,1,12,50,31,69.64182980000624,,,,,,,,,,,,,69.62602600001264,69.64182980000624,69.64182980000624,69.8587639000034,space,,,0.21576140000252053,None,1,001,2024-03-04_12h03.11.917,ssr_1,2023.2.3,59.53858785428031,2024-03-04 12h03.18.415990 +0100,
24.png,0,1,13,51,23,69.8742651000066,,,,,,,,,,,,,69.85914490000869,69.8742651000066,69.8742651000066,70.1250846000039,space,,,0.2455119999940507,None,1,001,2024-03-04_12h03.11.917,ssr_1,2023.2.3,59.53858785428031,2024-03-04 12h03.18.415990 +0100,
15.png,0,1,14,52,14,70.14074100001017,,,,,,,,,,,,,70.12543860000733,70.14074100001017,70.14074100001017,70.45858040000894,space,,,0.3015931999980239,None,1,001,2024-03-04_12h03.11.917,ssr_1,2023.2.3,59.53858785428031,2024-03-04 12h03.18.415990 +0100,
11.png,0,1,15,53,10,70.47420490000513,,,,,,,,,,,,,70.45896440000797,70.47420490000513,70.47420490000513,70.75886420000461,space,,,0.2825994000013452,None,1,001,2024-03-04_12h03.11.917,ssr_1,2023.2.3,59.53858785428031,2024-03-04 12h03.18.415990 +0100,
1.png,1,1,16,54,27,70.77414890000364,,,,,,,,,,,,,70.75942030000442,70.77414890000364,70.77414890000364,71.02539500000421,space,,,0.23540970000613015,None,1,001,2024-03-04_12h03.11.917,ssr_1,2023.2.3,59.53858785428031,2024-03-04 12h03.18.415990 +0100,
9.png,0,1,17,55,8,71.04093290001038,,,,,,,,,,,,,71.02575760000036,71.04093290001038,71.04093290001038,71.22530380000535,space,,,0.18088159999751952,None,1,001,2024-03-04_12h03.11.917,ssr_1,2023.2.3,59.53858785428031,2024-03-04 12h03.18.415990 +0100,
1.png,1,1,18,56,0,71.24103960000502,,,,,,,,,,,,,71.2257135000109,71.24103960000502,71.24103960000502,71.4247430000105,space,,,0.17117180000059307,None,1,001,2024-03-04_12h03.11.917,ssr_1,2023.2.3,59.53858785428031,2024-03-04 12h03.18.415990 +0100,
13.png,0,1,19,57,12,71.44064900001104,,,,,,,,,,,,,71.4250977000047,71.44064900001104,71.44064900001104,71.60802670000703,space,,,0.15115119999973103,None,1,001,2024-03-04_12h03.11.917,ssr_1,2023.2.3,59.53858785428031,2024-03-04 12h03.18.415990 +0100,
1.png,1,1,20,58,25,71.62382420001086,,,,,,,,,,,,,71.60847070001182,71.62382420001086,71.62382420001086,71.7909323000058,space,,,0.1527228000049945,None,1,001,2024-03-04_12h03.11.917,ssr_1,2023.2.3,59.53858785428031,2024-03-04 12h03.18.415990 +0100,
1.png,1,1,21,59,24,71.80723200000648,,,,,,,,,,,,,71.79129810001177,71.80723200000648,71.80723200000648,71.9910843000107,space,,,0.17329350000363775,None,1,001,2024-03-04_12h03.11.917,ssr_1,2023.2.3,59.53858785428031,2024-03-04 12h03.18.415990 +0100,
2.png,1,1,22,60,32,72.00704650000262,,,,,,,,,,,,,71.99144390001311,72.00704650000262,72.00704650000262,72.22519190001185,space,,,0.2164883999939775,None,1,001,2024-03-04_12h03.11.917,ssr_1,2023.2.3,59.53858785428031,2024-03-04 12h03.18.415990 +0100,
2.png,1,1,23,61,33,72.24083670000255,,,,,,,,,,,,,72.22566170000937,72.24083670000255,72.24083670000255,72.4913760000054,space,,,0.23694469999463763,None,1,001,2024-03-04_12h03.11.917,ssr_1,2023.2.3,59.53858785428031,2024-03-04 12h03.18.415990 +0100,
10.png,0,1,24,62,9,72.50699059999897,,,,,,,,,,,,,72.49173130000418,72.50699059999897,72.50699059999897,72.7910419000109,space,,,0.2694210000045132,None,1,001,2024-03-04_12h03.11.917,ssr_1,2023.2.3,59.53858785428031,2024-03-04 12h03.18.415990 +0100,
17.png,0,1,25,63,16,72.80706180000561,,,,,,,,,,,,,72.79139870000654,72.80706180000561,72.80706180000561,73.10750870000629,space,,,0.28811389999464154,None,1,001,2024-03-04_12h03.11.917,ssr_1,2023.2.3,59.53858785428031,2024-03-04 12h03.18.415990 +0100,
1.png,1,1,26,64,28,73.12439920000907,,,,,,,,,,,,,73.10785450000549,73.12439920000907,73.12439920000907,73.37506690000009,space,,,0.243800199998077,None,1,001,2024-03-04_12h03.11.917,ssr_1,2023.2.3,59.53858785428031,2024-03-04 12h03.18.415990 +0100,
2.png,1,1,27,65,35,73.39122600000701,,,,,,,,,,,,,73.37546200001088,73.39122600000701,73.39122600000701,73.62428470001032,space,,,0.2183517999947071,None,1,001,2024-03-04_12h03.11.917,ssr_1,2023.2.3,59.53858785428031,2024-03-04 12h03.18.415990 +0100,
3.png,0,1,28,66,2,73.64066250000906,,,,,,,,,,,,,73.62466330001189,73.64066250000906,73.64066250000906,73.92477930001041,space,,,0.26952699999674223,None,1,001,2024-03-04_12h03.11.917,ssr_1,2023.2.3,59.53858785428031,2024-03-04 12h03.18.415990 +0100,
16.png,0,1,29,67,15,73.94069500001206,,,,,,,,,,,,,73.92522170000302,73.94069500001206,73.94069500001206,74.20757000001322,space,,,0.25745309999911115,None,1,001,2024-03-04_12h03.11.917,ssr_1,2023.2.3,59.53858785428031,2024-03-04 12h03.18.415990 +0100,
1.png,1,1,30,68,26,74.22459030000027,,,,,,,,,,,,,74.20792770000116,74.22459030000027,74.22459030000027,74.50756080000428,space,,,0.26937379999435507,None,1,001,2024-03-04_12h03.11.917,ssr_1,2023.2.3,59.53858785428031,2024-03-04 12h03.18.415990 +0100,
8.png,0,1,31,69,7,74.52410590001091,,,,,,,,,,,,,74.50792120001279,74.52410590001091,74.52410590001091,74.77484090000507,space,,,0.24515219999011606,None,1,001,2024-03-04_12h03.11.917,ssr_1,2023.2.3,59.53858785428031,2024-03-04 12h03.18.415990 +0100,
12.png,0,1,32,70,11,74.79068800000823,,,,,,,,,,,,,74.77517570000782,74.79068800000823,74.79068800000823,75.15768290001142,space,,,0.350949200001196,None,1,001,2024-03-04_12h03.11.917,ssr_1,2023.2.3,59.53858785428031,2024-03-04 12h03.18.415990 +0100,
14.png,0,1,33,71,13,75.17359180000494,,,,,,,,,,,,,75.1580796000053,75.17359180000494,75.17359180000494,75.44169310000143,space,,,0.2554372000013245,None,1,001,2024-03-04_12h03.11.917,ssr_1,2023.2.3,59.53858785428031,2024-03-04 12h03.18.415990 +0100,
18.png,0,1,34,72,17,75.45733090001158,,,,,,,,,,,,,75.44217800001206,75.45733090001158,75.45733090001158,75.7407940000121,space,,,0.27834649999567773,None,1,001,2024-03-04_12h03.11.917,ssr_1,2023.2.3,59.53858785428031,2024-03-04 12h03.18.415990 +0100,
2.png,1,1,35,73,1,75.75668350000342,,,,,,,,,,,,,75.74115410000377,75.75668350000342,75.75668350000342,76.07425160000275,space,,,0.3077147000003606,None,1,001,2024-03-04_12h03.11.917,ssr_1,2023.2.3,59.53858785428031,2024-03-04 12h03.18.415990 +0100,
2.png,1,1,36,74,36,76.09073070000159,,,,,,,,,,,,,76.07461080000212,76.09073070000159,76.09073070000159,76.4405945000035,space,,,0.3391107999923406,None,1,001,2024-03-04_12h03.11.917,ssr_1,2023.2.3,59.53858785428031,2024-03-04 12h03.18.415990 +0100,
22.png,0,1,37,75,21,76.45705940001062,,,,,,,,,,,,,76.44093799999973,76.45705940001062,76.45705940001062,76.75864949999959,space,,,0.2932719999953406,None,1,001,2024-03-04_12h03.11.917,ssr_1,2023.2.3,59.53858785428031,2024-03-04 12h03.18.415990 +0100,
