trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,experiment,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.31499020000046585,,0.025582100002793595,0.31499020000046585,0.25804929999867454,2.5980598000023747,[-0.29050925925925924],[-0.44907407407407407],[1],[0],[0],[2.3394160000025295],['target'],1,2024-03-04_12h45.48.794,visualsearch,2023.2.3,59.16610113820961,2024-03-04 12h45.54.216756 +0100,
1,0,1,0,2.7656318999943323,,2.5990560999925947,2.7656318999943323,0.12107079999987036,5.901662699994631,[0.005787037037037037],[-0.46064814814814814],[1],[0],[0],[3.1813741000078153],['target'],1,2024-03-04_12h45.48.794,visualsearch,2023.2.3,59.16610113820961,2024-03-04 12h45.54.216756 +0100,
2,0,2,0,6.082602399997995,,5.902409499991336,6.082602399997995,0.12282229999254923,8.715091699996265,[-0.36574074074074076],[-0.35532407407407407],[1],[0],[0],[2.6896973000111757],['target'],1,2024-03-04_12h45.48.794,visualsearch,2023.2.3,59.16610113820961,2024-03-04 12h45.54.216756 +0100,
3,0,3,0,8.882194199992227,,8.715850599997793,8.882194199992227,0.12127969998982735,10.884702700001071,[0.47453703703703703],[-0.4710648148148148],[1],[0],[0],[2.047413200009032],['target'],1,2024-03-04_12h45.48.794,visualsearch,2023.2.3,59.16610113820961,2024-03-04 12h45.54.216756 +0100,
4,0,4,0,11.048599399990053,,10.88542530000268,11.048599399990053,0.12081639999814797,12.348467799994978,[-0.25578703703703703],[0.23148148148148148],[1],[0],[0],[1.3420209999894723],['target'],1,2024-03-04_12h45.48.794,visualsearch,2023.2.3,59.16610113820961,2024-03-04 12h45.54.216756 +0100,
