trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,experiment,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.316044499995769,,0.027034999991883524,0.316044499995769,0.24042309999640565,3.69856350000191,[0.04282407407407408],[-0.3506944444444444],[1],[0],[0],[3.4575561999954516],['target'],1,2024-03-04_12h52.33.149,visualsearch,2023.2.3,59.93256388018894,2024-03-04 12h52.37.966762 +0100,
1,0,1,0,3.8481678999960423,,3.6995677999948384,3.8481678999960423,0.10941649999585934,4.7994914000009885,[-0.03587962962962963],[-0.003472222222222222],[1],[0],[0],[0.9902875999978278],['target'],1,2024-03-04_12h52.33.149,visualsearch,2023.2.3,59.93256388018894,2024-03-04 12h52.37.966762 +0100,
2,0,2,0,4.948087199998554,,4.800219600001583,4.948087199998554,0.10914409998804331,6.233370599991758,[0.45949074074074076],[0.020833333333333332],[1],[0],[0],[1.3237977999961004],['target'],1,2024-03-04_12h52.33.149,visualsearch,2023.2.3,59.93256388018894,2024-03-04 12h52.37.966762 +0100,
3,0,3,0,6.39791869999317,,6.234076799999457,6.39791869999317,0.1164073000109056,11.199182099997415,[0.27662037037037035],[-0.45717592592592593],[1],[0],[0],[4.848478400002932],['target'],1,2024-03-04_12h52.33.149,visualsearch,2023.2.3,59.93256388018894,2024-03-04 12h52.37.966762 +0100,
4,0,4,0,11.36430780000228,,11.199922500003595,11.36430780000228,0.12471200000436511,13.282809199998155,[-0.43171296296296297],[-0.3680555555555556],[1],[0],[0],[1.9579419000074267],['target'],1,2024-03-04_12h52.33.149,visualsearch,2023.2.3,59.93256388018894,2024-03-04 12h52.37.966762 +0100,
