image,stimulus_loop.thisRepN,stimulus_loop.thisTrialN,stimulus_loop.thisN,stimulus_loop.thisIndex,thisRow.t,notes,intro.started,hello.started,welcome.started,hello.stopped,welcome.stopped,wait_key.started,key_resp.started,intro.stopped,key_resp.keys,key_resp.rt,key_resp.duration,show_stimulus.started,stim.started,show_stimulus.stopped,participant,age,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,0.009741800022311509,0.027601699926890433,2.0111339000286534,2.027935400023125,4.010848699952476,4.010848699952476,4.010848699952476,9.813091299962252,return,5.800412100041285,None,,,,01,15,2024-02-16_11h10.07.930,intropy_demo,2023.2.3,59.84834429733507,2024-02-16 11h10.19.719433 +0100,
R.png,0,0,0,1,9.879785900004208,,,,,,,,,,,,,9.820150199928321,9.879785900004208,10.827857399941422,01,15,2024-02-16_11h10.07.930,intropy_demo,2023.2.3,59.84834429733507,2024-02-16 11h10.19.719433 +0100,
,,,,,10.844617399969138,,,,,,,,,,,,,10.828387400018983,10.844617399969138,,,,,,,,,
