stim_word,stim_color,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,thisRow.t,notes,welcome.started,welcome_txt.started,welcome.stopped,instructions.started,instructions_txt.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,init_fix.started,circle.started,circle.stopped,init_fix.stopped,stim.started,trial_txt.started,response.started,stim.stopped,response.keys,response.rt,response.duration,result.started,feedback.started,feedback.stopped,result.stopped,isi.started,polygon.started,polygon.stopped,isi.stopped,trial_txt.stopped,response.stopped,participant,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,0.01579969999147579,0.09960849999333732,1.626316100009717,1.6263307000044733,1.644988399988506,1.644988399988506,4.461509999993723,return,2.8068291999807116,None,,,,,,,,,,,,,,,,,,,,,,1,2024-02-19_12h36.28.213,stroop,2023.2.3,59.945641293786956,2024-02-19 12h36.32.739222 +0100,
rojo,green,0,0,0,7,5.492660199990496,,,,,,,,,,,,4.461533199995756,4.476932199992007,5.492660199990496,5.460850300005404,5.471334700006992,5.492660199990496,5.492660199990496,6.544464700011304,left,1.0489463999983855,None,6.546108500013361,6.56048469999223,7.060006299987435,7.043989199999487,7.043999499990605,7.060006299987435,7.593451599997934,7.577563900005771,,,1,2024-02-19_12h36.28.213,stroop,2023.2.3,59.945641293786956,2024-02-19 12h36.32.739222 +0100,
rojo,red,0,1,1,1,7.593451599997934,,,,,,,,,,,,,,,,7.577835300005972,7.593451599997934,7.593451599997934,9.560931299987715,left,1.954194899997674,None,9.561166800005594,9.57696860001306,,10.062758199987002,10.062789699994028,10.07687759998953,10.609931999992114,10.593637599988142,,,1,2024-02-19_12h36.28.213,stroop,2023.2.3,59.945641293786956,2024-02-19 12h36.32.739222 +0100,
rojo,red,0,2,2,2,10.609931999992114,,,,,,,,,,,,,,,,10.593871399993077,10.609931999992114,10.609931999992114,14.177246100007324,left,3.5527541999763343,None,14.177512599999318,14.192981200001668,14.692931199999293,14.676894300006097,14.676905200001784,14.692931199999293,15.226371900003869,15.210923500009812,,,1,2024-02-19_12h36.28.213,stroop,2023.2.3,59.945641293786956,2024-02-19 12h36.32.739222 +0100,
verde,green,0,3,3,13,15.226371900003869,,,,,,,,,,,,,,,,15.211150199989788,15.226371900003869,15.226371900003869,20.210175000014715,None,,,20.210297100013122,20.226087099988945,,20.71230569999898,20.71231619999162,20.72667510001338,21.259820100007346,21.24327929998981,20.226087099988945,20.226087099988945,1,2024-02-19_12h36.28.213,stroop,2023.2.3,59.945641293786956,2024-02-19 12h36.32.739222 +0100,
rojo,red,0,4,4,4,21.259820100007346,,,,,,,,,,,,,,,,21.243504399986705,21.259820100007346,21.259820100007346,26.24330510001164,None,,,26.24347200000193,26.25952250001137,26.759221299987985,26.743308700009948,26.74332070001401,26.759221299987985,27.292635399993742,27.276276099990355,26.25952250001137,26.25952250001137,1,2024-02-19_12h36.28.213,stroop,2023.2.3,59.945641293786956,2024-02-19 12h36.32.739222 +0100,
rojo,green,0,5,5,6,27.292635399993742,,,,,,,,,,,,,,,,27.27652760001365,27.292635399993742,27.292635399993742,32.276560600002995,None,,,32.27669309999328,32.2925019999966,32.79223479999928,32.77593770000385,32.77594819999649,32.79223479999928,33.32583859999431,33.30965440001455,32.2925019999966,32.2925019999966,1,2024-02-19_12h36.28.213,stroop,2023.2.3,59.945641293786956,2024-02-19 12h36.32.739222 +0100,
verde,red,0,6,6,18,33.32583859999431,,,,,,,,,,,,,,,,33.30988620000426,33.32583859999431,33.32583859999431,33.760383499989985,right,0.4243185000086669,None,33.7606276999868,33.775724500010256,34.27562349999789,34.259405199991306,34.25941729999613,34.27562349999789,34.80930480000097,34.79300470001181,,,1,2024-02-19_12h36.28.213,stroop,2023.2.3,59.945641293786956,2024-02-19 12h36.32.739222 +0100,
verde,red,0,7,7,19,34.80930480000097,,,,,,,,,,,,,,,,34.79323030001251,34.80930480000097,34.80930480000097,37.842945599986706,left,3.024386000004597,None,37.84317710000323,37.859034499997506,38.35874299998977,38.34314959999756,38.3431614000001,38.35874299998977,38.89228699999512,38.87622440000996,,,1,2024-02-19_12h36.28.213,stroop,2023.2.3,59.945641293786956,2024-02-19 12h36.32.739222 +0100,
verde,red,0,8,8,15,38.89228699999512,,,,,,,,,,,,,,,,38.87643959998968,38.89228699999512,38.89228699999512,43.87590459999046,None,,,43.87607110000681,43.892109900014475,44.392551099997945,44.37571200000821,44.37573239998892,44.392551099997945,44.92519569999422,44.90905230000499,43.892109900014475,43.892109900014475,1,2024-02-19_12h36.28.213,stroop,2023.2.3,59.945641293786956,2024-02-19 12h36.32.739222 +0100,
verde,red,0,9,9,16,44.92519569999422,,,,,,,,,,,,,,,,44.90926879999461,44.92519569999422,44.92519569999422,45.892773400002625,left,0.9502638000121806,None,45.89300770001137,45.908539199997904,46.40850029999274,46.39243639999768,46.39245200000005,46.40850029999274,46.9417814000044,46.92542200000025,,,1,2024-02-19_12h36.28.213,stroop,2023.2.3,59.945641293786956,2024-02-19 12h36.32.739222 +0100,
rojo,green,0,10,10,5,46.9417814000044,,,,,,,,,,,,,,,,46.92566479998641,46.9417814000044,46.9417814000044,49.60906829999294,right,2.6530872999865096,None,49.60928699999931,49.62486169999465,50.124671199999284,50.108707500010496,50.10871890000999,50.124671199999284,50.658547400002135,50.64234409999335,,,1,2024-02-19_12h36.28.213,stroop,2023.2.3,59.945641293786956,2024-02-19 12h36.32.739222 +0100,
,,,,,,50.658547400002135,,,,,,,,,,,,,,,,50.64257019999786,50.658547400002135,50.658547400002135,,,,,,,,,,,,,,,,,,,,,
