trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,stim_word,stim_color,thisRow.t,notes,welcome.started,welcome_txt.started,welcome.stopped,instructions.started,instructions_txt.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,init_fix.started,circle.started,init_fix.stopped,stim.started,trial_txt.started,response.started,stim.stopped,response.keys,result.started,participant,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,0.00907339999685064,0.01312710001366213,1.0068315000098664,1.0068407999933697,1.0236081999901216,1.0236081999901216,1.591207299992675,return,0.5642208999779541,None,,,,,,,,,,1,2024-02-19_12h32.07.973,stroop,2023.2.3,59.94768964200542,2024-02-19 12h32.15.860721 +0100,
,,,,,,4.043023000005633,,,,,,,,,,,,1.5912282000062987,1.6063529000093695,4.026931900007185,4.032777300017187,4.043023000005633,4.043023000005633,7.964402000012342,None,7.9648140000062995,,,,,,,
