stim_word,stim_color,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,thisRow.t,notes,welcome.started,welcome_txt.started,welcome.stopped,instructions.started,instructions_txt.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,init_fix.started,circle.started,circle.stopped,init_fix.stopped,stim.started,trial_txt.started,response.started,stim.stopped,response.keys,response.rt,response.duration,isi.started,polygon.started,polygon.stopped,isi.stopped,participant,date,expName,psychopyVersion,frameRate,expStart,
rojo,red,1,0,20,1,18.80646789999446,,,,,,,,,,,,,,,,18.790287400013767,18.80646789999446,18.80646789999446,19.10843359999126,right,0.29994820000138134,None,19.10908369999379,19.122968400013633,19.4398349999974,19.423328300006688,1,2024-02-19_12h05.35.273,stroop,2023.2.3,60.03363084098647,2024-02-19 12h05.46.228663 +0100,
rojo,green,1,1,21,8,19.4398349999974,,,,,,,,,,,,,,,,19.4235531000013,19.4398349999974,19.4398349999974,19.824255400017137,left,0.37904589998652227,None,19.824500699993223,19.839541900000768,20.156306099990616,20.14007439999841,1,2024-02-19_12h05.35.273,stroop,2023.2.3,60.03363084098647,2024-02-19 12h05.46.228663 +0100,
verde,red,1,2,22,17,20.156306099990616,,,,,,,,,,,,,,,,20.14028690001578,20.156306099990616,20.156306099990616,20.507726900017587,right,0.3487829999940004,None,20.50803339999402,20.522876900009578,20.83982819999801,20.823410200013313,1,2024-02-19_12h05.35.273,stroop,2023.2.3,60.03363084098647,2024-02-19 12h05.46.228663 +0100,
verde,green,1,3,23,10,20.83982819999801,,,,,,,,,,,,,,,,20.82362340000691,20.83982819999801,20.83982819999801,21.223578400007682,left,0.3682797999936156,None,21.22382509999443,21.23945100000128,21.556393500010017,21.540064200002234,1,2024-02-19_12h05.35.273,stroop,2023.2.3,60.03363084098647,2024-02-19 12h05.46.228663 +0100,
rojo,red,1,4,24,0,21.556393500010017,,,,,,,,,,,,,,,,21.54027679999126,21.556393500010017,21.556393500010017,21.840367500000866,right,0.2732484000152908,None,21.84060930000851,21.85620400001062,22.173171700007515,22.156535899994196,1,2024-02-19_12h05.35.273,stroop,2023.2.3,60.03363084098647,2024-02-19 12h05.46.228663 +0100,
verde,red,1,5,25,16,22.173171700007515,,,,,,,,,,,,,,,,22.15674740000395,22.173171700007515,22.173171700007515,22.556830699992133,right,0.37985710002249107,None,22.55706680001458,22.572890200011898,22.889647000003606,22.873345900006825,1,2024-02-19_12h05.35.273,stroop,2023.2.3,60.03363084098647,2024-02-19 12h05.46.228663 +0100,
rojo,green,1,6,26,7,22.889647000003606,,,,,,,,,,,,,,,,22.873576400015736,22.889647000003606,22.889647000003606,23.256666200002655,left,0.3515728000202216,None,23.256896500010043,23.272894599998835,23.589505300013116,23.573196300014388,1,2024-02-19_12h05.35.273,stroop,2023.2.3,60.03363084098647,2024-02-19 12h05.46.228663 +0100,
verde,green,1,7,27,12,23.589505300013116,,,,,,,,,,,,,,,,23.573411999997916,23.589505300013116,23.589505300013116,24.00661090001813,left,0.4118224999983795,None,24.006912300013937,24.022664999996778,24.339643000013893,24.323170999996364,1,2024-02-19_12h05.35.273,stroop,2023.2.3,60.03363084098647,2024-02-19 12h05.46.228663 +0100,
rojo,green,1,8,28,9,24.339643000013893,,,,,,,,,,,,,,,,24.32347080000909,24.339643000013893,24.339643000013893,24.93977709999308,left,0.5946854999929201,None,24.940038100001402,24.95607069999096,25.27279700001236,25.256726099993102,1,2024-02-19_12h05.35.273,stroop,2023.2.3,60.03363084098647,2024-02-19 12h05.46.228663 +0100,
verde,green,1,9,29,13,25.27279700001236,,,,,,,,,,,,,,,,25.256949300004635,25.27279700001236,25.27279700001236,25.65669170001638,left,0.3769791999948211,None,25.656984000001103,25.672845499997493,25.989281799993478,25.973170200013556,1,2024-02-19_12h05.35.273,stroop,2023.2.3,60.03363084098647,2024-02-19 12h05.46.228663 +0100,
verde,red,1,10,30,19,25.989281799993478,,,,,,,,,,,,,,,,25.973387400008505,25.989281799993478,25.989281799993478,26.539860499993665,right,0.5400989000045229,None,26.540101999999024,26.556119999993825,26.872766000014963,26.856525200011674,1,2024-02-19_12h05.35.273,stroop,2023.2.3,60.03363084098647,2024-02-19 12h05.46.228663 +0100,
verde,red,1,11,31,18,26.872766000014963,,,,,,,,,,,,,,,,26.85675020000781,26.872766000014963,26.872766000014963,27.373309899994638,right,0.48436149998451583,None,27.37354040000355,27.389435799996136,27.705728400003863,27.689386800018838,1,2024-02-19_12h05.35.273,stroop,2023.2.3,60.03363084098647,2024-02-19 12h05.46.228663 +0100,
verde,red,1,12,32,15,27.705728400003863,,,,,,,,,,,,,,,,27.689613800001098,27.705728400003863,27.705728400003863,28.206459100008942,right,0.495918000000529,None,28.206703700008802,28.222638100007316,28.53949970001122,28.522886299993843,1,2024-02-19_12h05.35.273,stroop,2023.2.3,60.03363084098647,2024-02-19 12h05.46.228663 +0100,
rojo,green,1,13,33,6,28.53949970001122,,,,,,,,,,,,,,,,28.523112700000638,28.53949970001122,28.53949970001122,28.973208900017198,left,0.42080839999835007,None,28.97343070001807,28.98937319999095,29.3059801000054,29.28971830001683,1,2024-02-19_12h05.35.273,stroop,2023.2.3,60.03363084098647,2024-02-19 12h05.46.228663 +0100,
rojo,green,1,14,34,5,29.3059801000054,,,,,,,,,,,,,,,,29.289950000005774,29.3059801000054,29.3059801000054,29.589929400011897,left,0.2810884000209626,None,29.59016180000617,29.60591410001507,29.922702400013804,29.90628620001371,1,2024-02-19_12h05.35.273,stroop,2023.2.3,60.03363084098647,2024-02-19 12h05.46.228663 +0100,
rojo,red,1,15,35,2,29.922702400013804,,,,,,,,,,,,,,,,29.90650879999157,29.922702400013804,29.922702400013804,30.357050199992955,right,0.43323249998502433,None,30.35727969999425,30.372505800012732,30.68922780000139,30.67314470000565,1,2024-02-19_12h05.35.273,stroop,2023.2.3,60.03363084098647,2024-02-19 12h05.46.228663 +0100,
rojo,red,1,16,36,4,30.68922780000139,,,,,,,,,,,,,,,,30.673370900010923,30.68922780000139,30.68922780000139,31.056633000000147,right,0.36474369998904876,None,31.056884699995862,31.072362800012343,31.389149800001178,31.373048800014658,1,2024-02-19_12h05.35.273,stroop,2023.2.3,60.03363084098647,2024-02-19 12h05.46.228663 +0100,
verde,green,1,17,37,14,31.389149800001178,,,,,,,,,,,,,,,,31.373335600015707,31.389149800001178,31.389149800001178,31.77377970001544,left,0.38353630001074634,None,31.774063499993645,31.789043700002367,32.10576420000871,32.08938180000405,1,2024-02-19_12h05.35.273,stroop,2023.2.3,60.03363084098647,2024-02-19 12h05.46.228663 +0100,
verde,green,1,18,38,11,32.10576420000871,,,,,,,,,,,,,,,,32.089598199992906,32.10576420000871,32.10576420000871,32.37294460000703,left,0.26220219998504035,None,32.373182100011036,32.38895069999853,32.70566510001663,32.68950740000582,1,2024-02-19_12h05.35.273,stroop,2023.2.3,60.03363084098647,2024-02-19 12h05.46.228663 +0100,
rojo,red,1,19,39,3,32.70566510001663,,,,,,,,,,,,,,,,32.68972059999942,32.70566510001663,32.70566510001663,33.089938999997685,right,0.37153579998994246,None,33.09017270000186,33.10585739999078,33.42231610001181,33.40600700001232,1,2024-02-19_12h05.35.273,stroop,2023.2.3,60.03363084098647,2024-02-19 12h05.46.228663 +0100,
