stim_word,stim_color,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,thisRow.t,notes,welcome.started,welcome_txt.started,welcome.stopped,instructions.started,instructions_txt.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,init_fix.started,circle.started,circle.stopped,init_fix.stopped,stim.started,trial_txt.started,response.started,stim.stopped,response.keys,response.rt,response.duration,isi.started,polygon.started,polygon.stopped,isi.stopped,participant,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,0.03003069997066632,0.04492229997413233,1.0090775999706239,1.0090872999862768,1.0254939000005834,1.0254939000005834,18.942844300006982,return,17.913935199961998,None,,,,,,,,,,,,,,,,1,2024-02-22_10h04.02.718,stroop,2023.2.3,59.9582930148842,2024-02-22 10h04.09.129753 +0100,
verde,red,0,0,0,18,19.97266369999852,,,,,,,,,,,,18.942865599994548,18.957894399994984,19.97266369999852,19.941962499986403,19.959897299995646,19.97266369999852,19.97266369999852,20.908957100007683,left,0.929393699974753,None,20.909430700005032,20.924376200011466,21.591337899968494,21.574944299994968,1,2024-02-22_10h04.02.718,stroop,2023.2.3,59.9582930148842,2024-02-22 10h04.09.129753 +0100,
verde,red,0,1,1,17,21.591337899968494,,,,,,,,,,,,,,,,21.575175700010732,21.591337899968494,21.591337899968494,22.041780999978073,left,0.4439974999986589,None,22.04200439999113,22.057812999992166,22.72433659998933,22.708340400015004,1,2024-02-22_10h04.02.718,stroop,2023.2.3,59.9582930148842,2024-02-22 10h04.09.129753 +0100,
rojo,red,0,2,2,4,22.72433659998933,,,,,,,,,,,,,,,,22.70856030000141,22.72433659998933,22.72433659998933,23.04170659999363,left,0.30229980003787205,None,23.04202459997032,23.057837400003336,23.7244799999753,23.708452599996235,1,2024-02-22_10h04.02.718,stroop,2023.2.3,59.9582930148842,2024-02-22 10h04.09.129753 +0100,
rojo,green,0,3,3,7,23.7244799999753,,,,,,,,,,,,,,,,23.70870819996344,23.7244799999753,23.7244799999753,24.041964899981394,right,0.30340989999240264,None,24.042185299971607,24.057732299959753,24.772048399958294,24.708265999972355,1,2024-02-22_10h04.02.718,stroop,2023.2.3,59.9582930148842,2024-02-22 10h04.09.129753 +0100,
verde,red,0,4,4,16,24.772048399958294,,,,,,,,,,,,,,,,24.708503099973314,24.772048399958294,24.772048399958294,25.14312590000918,left,0.3581564999767579,None,25.14352390001295,25.15741149999667,25.824279199994635,25.80845449998742,1,2024-02-22_10h04.02.718,stroop,2023.2.3,59.9582930148842,2024-02-22 10h04.09.129753 +0100,
verde,green,0,5,5,11,25.824279199994635,,,,,,,,,,,,,,,,25.808681899972726,25.824279199994635,25.824279199994635,26.341886200010777,right,0.5044241000432521,None,26.342227999994066,26.35775179998018,27.02431929996237,27.008099999977276,1,2024-02-22_10h04.02.718,stroop,2023.2.3,59.9582930148842,2024-02-22 10h04.09.129753 +0100,
rojo,red,0,6,6,1,27.02431929996237,,,,,,,,,,,,,,,,27.00831730000209,27.02431929996237,27.02431929996237,27.50838409998687,left,0.48121549998177215,None,27.508685000007972,27.5241503000143,28.191020199970808,28.17463789996691,1,2024-02-22_10h04.02.718,stroop,2023.2.3,59.9582930148842,2024-02-22 10h04.09.129753 +0100,
verde,green,0,7,7,10,28.191020199970808,,,,,,,,,,,,,,,,28.174871499999426,28.191020199970808,28.191020199970808,28.675145099987276,right,0.4698899000068195,None,28.675374699989334,28.6907967000152,29.357443899963982,29.341551999968942,1,2024-02-22_10h04.02.718,stroop,2023.2.3,59.9582930148842,2024-02-22 10h04.09.129753 +0100,
rojo,green,0,8,8,6,29.357443899963982,,,,,,,,,,,,,,,,29.341770700004417,29.357443899963982,29.357443899963982,29.65867779997643,left,0.28471019997959957,None,29.658918800007086,29.674298199999612,30.341115499963053,30.32458419998875,1,2024-02-22_10h04.02.718,stroop,2023.2.3,59.9582930148842,2024-02-22 10h04.09.129753 +0100,
