stim_word,stim_color,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,thisRow.t,notes,welcome.started,welcome_txt.started,welcome.stopped,instructions.started,instructions_txt.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,init_fix.started,circle.started,circle.stopped,init_fix.stopped,stim.started,trial_txt.started,response.started,stim.stopped,response.keys,response.rt,response.duration,result.started,feedback.started,feedback.stopped,result.stopped,isi.started,polygon.started,polygon.stopped,isi.stopped,trial_txt.stopped,response.stopped,participant,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,0.06687209999654442,0.08474350001779385,1.4290195000066888,1.4290289000200573,1.44705720001366,1.44705720001366,6.530487100011669,return,5.071380700013833,None,,,,,,,,,,,,,,,,,,,,,,1,2024-02-19_12h34.23.962,stroop,2023.2.3,60.34755362873522,2024-02-19 12h34.28.826674 +0100,
verde,red,0,0,0,17,7.546073500008788,,,,,,,,,,,,6.530507000017678,6.54603510000743,7.546073500008788,7.529540400020778,7.534962600009749,7.546073500008788,7.546073500008788,8.663192000007257,left,1.105670300021302,None,8.663573600002564,8.679143800021848,9.179560000018682,9.163166500016814,9.163175599998794,9.179560000018682,10.029191100009484,10.012991000025067,,,1,2024-02-19_12h34.23.962,stroop,2023.2.3,60.34755362873522,2024-02-19 12h34.28.826674 +0100,
rojo,red,0,1,1,1,10.029191100009484,,,,,,,,,,,,,,,,10.013228399999207,10.029191100009484,10.029191100009484,11.579949700011639,right,1.5407492000085767,None,11.58018180000363,11.595973700023023,12.095529200014425,12.079326300008688,12.07933830001275,12.095529200014425,12.94564800002263,12.92948350001825,,,1,2024-02-19_12h34.23.962,stroop,2023.2.3,60.34755362873522,2024-02-19 12h34.28.826674 +0100,
rojo,green,0,2,2,8,12.94564800002263,,,,,,,,,,,,,,,,12.929712400014978,12.94564800002263,12.94564800002263,14.362553500017384,left,1.4111037999973632,None,14.362782500014873,14.378756600024644,14.878852100024233,14.862669900001492,14.862680999998702,14.878852100024233,15.729089000000386,15.712745900003938,,,1,2024-02-19_12h34.23.962,stroop,2023.2.3,60.34755362873522,2024-02-19 12h34.28.826674 +0100,
rojo,red,0,3,3,2,15.729089000000386,,,,,,,,,,,,,,,,15.712978600000497,15.729089000000386,15.729089000000386,16.296321000001626,left,0.5604533000150695,None,16.29654880001908,16.312299400015036,16.812318800017238,16.796309800003655,16.796330600016518,16.812318800017238,17.711204899998847,17.64573840002413,,,1,2024-02-19_12h34.23.962,stroop,2023.2.3,60.34755362873522,2024-02-19 12h34.28.826674 +0100,
verde,green,0,4,4,14,17.711204899998847,,,,,,,,,,,,,,,,17.645955200016033,17.711204899998847,17.711204899998847,18.66325380001217,left,0.9509191999968607,None,18.663511999999173,18.678552800003672,19.17836520000128,19.162248400010867,19.162268200016115,19.17836520000128,20.01211670000339,19.996250399999553,,,1,2024-02-19_12h34.23.962,stroop,2023.2.3,60.34755362873522,2024-02-19 12h34.28.826674 +0100,
rojo,red,0,5,5,3,20.01211670000339,,,,,,,,,,,,,,,,19.996481500013033,20.01211670000339,20.01211670000339,20.52955100001418,left,0.5032940999954008,None,20.529782500001602,20.545195100014098,21.045078600000124,21.02891960000852,21.028930200001923,21.045078600000124,21.878728400013642,21.862468600011198,,,1,2024-02-19_12h34.23.962,stroop,2023.2.3,60.34755362873522,2024-02-19 12h34.28.826674 +0100,
verde,red,0,6,6,19,21.878728400013642,,,,,,,,,,,,,,,,21.86269710000488,21.878728400013642,21.878728400013642,26.862051300005987,None,,,26.86218260001624,26.878103700000793,27.37854810000863,27.362450400018133,27.36246200001915,27.37854810000863,28.228384400019422,28.212459600006696,26.878103700000793,26.878103700000793,1,2024-02-19_12h34.23.962,stroop,2023.2.3,60.34755362873522,2024-02-19 12h34.28.826674 +0100,
,,,,,,28.228384400019422,,,,,,,,,,,,,,,,28.212697400012985,28.228384400019422,28.228384400019422,,,,,,,,,,,,,,,,,,,,,
