trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,stim_word,stim_color,thisRow.t,notes,welcome.started,welcome_txt.started,welcome_txt.stopped,welcome.stopped,instructions.started,instructions_txt.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,init_fix.started,circle.started,init_fix.stopped,stim.started,trial_txt.started,response.started,stim.stopped,response.keys,response.rt,response.duration,result.started,feedback.started,participant,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,0.009925999998813495,0.014905299991369247,1.0155579000129364,0.9987940000137314,0.9988032999972347,1.0155579000129364,1.0155579000129364,1.500005300011253,return,0.4814604999846779,None,,,,,,,,,,,,,1,2024-02-19_12h24.14.011,stroop,2023.2.3,60.059555053802505,2024-02-19 12h24.22.771801 +0100,
,,,,,,4.122925100004068,,,,,,,,,,,,,1.500026199995773,1.515064600011101,4.097930299991276,4.108873199991649,4.122925100004068,4.122925100004068,8.449212500010617,left,4.319483500003116,None,8.450761799991596,,,,,,,,
