trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,stim_word,stim_color,thisRow.t,notes,welcome.started,welcome_txt.started,welcome_txt.stopped,welcome.stopped,instructions.started,instructions_txt.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,init_fix.started,circle.started,circle.stopped,init_fix.stopped,stim.started,trial_txt.started,response.started,stim.stopped,response.keys,response.rt,response.duration,isi.started,polygon.started,participant,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,0.009843399981036782,0.013305799977388233,1.0151901999779511,0.9987034999940079,0.9987128999782726,1.0151901999779511,1.0151901999779511,1.5325359999842476,return,0.5089452000102028,None,,,,,,,,,,,,,,1,2024-02-19_12h04.27.636,stroop,2023.2.3,59.99196107536744,2024-02-19 12h04.35.704606 +0100,
,,,,,,2.5478917000000365,,,,,,,,,,,,,1.5325577999756206,1.5480460999824572,2.5478917000000365,2.531652199977543,2.53704279998783,2.5478917000000365,2.5478917000000365,3.1321139999781735,left,0.5807199999981094,None,3.1325186000030953,,,,,,,,
