stim_word,stim_color,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,thisRow.t,notes,welcome.started,welcome_txt.started,welcome.stopped,instructions.started,instructions_txt.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,init_fix.started,circle.started,circle.stopped,init_fix.stopped,circles_routine.started,click.started,word.started,greencircle.started,redcircle.started,mouse.started,circles_routine.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,date,expName,psychopyVersion,frameRate,expStart,
verde,green,1,5,25,10,2.9351318000117317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-02-19_11h45.33.835,stroop,2023.2.3,60.12144532742946,2024-02-19 11h45.38.735599 +0100,
verde,red,1,6,26,15,2.9351318000117317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-02-19_11h45.33.835,stroop,2023.2.3,60.12144532742946,2024-02-19 11h45.38.735599 +0100,
rojo,green,1,7,27,6,2.9351318000117317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-02-19_11h45.33.835,stroop,2023.2.3,60.12144532742946,2024-02-19 11h45.38.735599 +0100,
rojo,red,1,8,28,3,2.9351318000117317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-02-19_11h45.33.835,stroop,2023.2.3,60.12144532742946,2024-02-19 11h45.38.735599 +0100,
verde,red,1,9,29,18,2.9351318000117317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-02-19_11h45.33.835,stroop,2023.2.3,60.12144532742946,2024-02-19 11h45.38.735599 +0100,
rojo,green,1,10,30,9,2.9351318000117317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-02-19_11h45.33.835,stroop,2023.2.3,60.12144532742946,2024-02-19 11h45.38.735599 +0100,
rojo,red,1,11,31,0,2.9351318000117317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-02-19_11h45.33.835,stroop,2023.2.3,60.12144532742946,2024-02-19 11h45.38.735599 +0100,
rojo,red,1,12,32,1,2.9351318000117317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-02-19_11h45.33.835,stroop,2023.2.3,60.12144532742946,2024-02-19 11h45.38.735599 +0100,
verde,red,1,13,33,17,2.9351318000117317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-02-19_11h45.33.835,stroop,2023.2.3,60.12144532742946,2024-02-19 11h45.38.735599 +0100,
verde,green,1,14,34,12,2.9351318000117317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-02-19_11h45.33.835,stroop,2023.2.3,60.12144532742946,2024-02-19 11h45.38.735599 +0100,
