stim_word,stim_color,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,thisRow.t,notes,welcome.started,welcome_txt.started,welcome.stopped,instructions.started,instructions_txt.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,init_fix.started,circle.started,circle.stopped,init_fix.stopped,circles_routine.started,click.started,word.started,greencircle.started,redcircle.started,mouse.started,circles_routine.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,0.009352699998999014,0.02952700000605546,1.0136099999945145,1.0136212999932468,1.0298723000159953,1.0298723000159953,1.980984099995112,return,0.9438449000008404,None,,,,,,,,,,,,,,,,,,,1,2024-02-19_11h46.41.165,stroop,2023.2.3,60.21901656597679,2024-02-19 11h46.46.219557 +0100,
verde,green,0,0,0,13,2.998790800018469,,,,,,,,,,,,1.981007900001714,1.9967229000176303,2.998790800018469,2.9803880999970715,,,,,,,,,,,,,,,1,2024-02-19_11h46.41.165,stroop,2023.2.3,60.21901656597679,2024-02-19 11h46.46.219557 +0100,
verde,red,0,1,1,18,2.998790800018469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-02-19_11h46.41.165,stroop,2023.2.3,60.21901656597679,2024-02-19 11h46.46.219557 +0100,
rojo,red,0,2,2,0,2.998790800018469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-02-19_11h46.41.165,stroop,2023.2.3,60.21901656597679,2024-02-19 11h46.46.219557 +0100,
rojo,red,0,3,3,4,2.998790800018469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-02-19_11h46.41.165,stroop,2023.2.3,60.21901656597679,2024-02-19 11h46.46.219557 +0100,
rojo,green,0,4,4,5,2.998790800018469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-02-19_11h46.41.165,stroop,2023.2.3,60.21901656597679,2024-02-19 11h46.46.219557 +0100,
rojo,green,0,5,5,9,2.998790800018469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-02-19_11h46.41.165,stroop,2023.2.3,60.21901656597679,2024-02-19 11h46.46.219557 +0100,
rojo,green,0,6,6,8,2.998790800018469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-02-19_11h46.41.165,stroop,2023.2.3,60.21901656597679,2024-02-19 11h46.46.219557 +0100,
rojo,red,0,7,7,3,2.998790800018469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-02-19_11h46.41.165,stroop,2023.2.3,60.21901656597679,2024-02-19 11h46.46.219557 +0100,
verde,green,0,8,8,11,2.998790800018469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-02-19_11h46.41.165,stroop,2023.2.3,60.21901656597679,2024-02-19 11h46.46.219557 +0100,
verde,green,0,9,9,12,2.998790800018469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-02-19_11h46.41.165,stroop,2023.2.3,60.21901656597679,2024-02-19 11h46.46.219557 +0100,
rojo,green,0,10,10,6,2.998790800018469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-02-19_11h46.41.165,stroop,2023.2.3,60.21901656597679,2024-02-19 11h46.46.219557 +0100,
verde,red,0,11,11,19,2.998790800018469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-02-19_11h46.41.165,stroop,2023.2.3,60.21901656597679,2024-02-19 11h46.46.219557 +0100,
rojo,red,0,12,12,1,2.998790800018469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-02-19_11h46.41.165,stroop,2023.2.3,60.21901656597679,2024-02-19 11h46.46.219557 +0100,
verde,red,0,13,13,17,2.998790800018469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-02-19_11h46.41.165,stroop,2023.2.3,60.21901656597679,2024-02-19 11h46.46.219557 +0100,
verde,green,0,14,14,14,2.998790800018469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-02-19_11h46.41.165,stroop,2023.2.3,60.21901656597679,2024-02-19 11h46.46.219557 +0100,
verde,green,0,15,15,10,2.998790800018469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-02-19_11h46.41.165,stroop,2023.2.3,60.21901656597679,2024-02-19 11h46.46.219557 +0100,
rojo,green,0,16,16,7,2.998790800018469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-02-19_11h46.41.165,stroop,2023.2.3,60.21901656597679,2024-02-19 11h46.46.219557 +0100,
verde,red,0,17,17,16,2.998790800018469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-02-19_11h46.41.165,stroop,2023.2.3,60.21901656597679,2024-02-19 11h46.46.219557 +0100,
verde,red,0,18,18,15,2.998790800018469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-02-19_11h46.41.165,stroop,2023.2.3,60.21901656597679,2024-02-19 11h46.46.219557 +0100,
