stim_word,stim_color,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,thisRow.t,notes,welcome.started,welcome_txt.started,welcome.stopped,instructions.started,instructions_txt.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,init_fix.started,circle.started,init_fix.stopped,stim.started,trial_txt.started,response.started,stim.stopped,response.keys,result.started,feedback.started,result.stopped,isi.started,polygon.started,polygon.stopped,isi.stopped,response.rt,response.duration,feedback.stopped,trial_txt.stopped,response.stopped,participant,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,0.010056399973109365,0.013741499977186322,1.0047220999840647,1.0047310999943875,1.0215921999770217,1.0215921999770217,1.522276999981841,return,0.4867071000044234,None,,,,,,,,,,,,,,,,,,,,,1,2024-02-19_12h29.58.763,stroop,2023.2.3,60.04480543596543,2024-02-19 12h30.06.906223 +0100,
verde,red,0,0,0,15,4.031780499994056,,,,,,,,,,,,1.5222966999863274,1.5377698999946006,4.013989299972309,4.020270599983633,4.031780499994056,4.031780499994056,7.538212199986447,None,7.538423499994678,7.555172599997604,8.038336999976309,8.038351299997885,8.054887299978873,8.42177499999525,8.405660999997053,,,,,,1,2024-02-19_12h29.58.763,stroop,2023.2.3,60.04480543596543,2024-02-19 12h30.06.906223 +0100,
rojo,red,0,1,1,1,8.42177499999525,,,,,,,,,,,,,,,8.405883599974914,8.42177499999525,8.42177499999525,8.456008099979954,left,8.456308699998772,8.471806299989112,8.955723899998702,8.955733999988297,8.971713299979456,9.338323599979049,9.322581199987326,0.021793600026285276,None,8.971713299979456,,,1,2024-02-19_12h29.58.763,stroop,2023.2.3,60.04480543596543,2024-02-19 12h30.06.906223 +0100,
verde,green,0,2,2,11,9.338323599979049,,,,,,,,,,,,,,,9.322841199988034,9.338323599979049,9.338323599979049,9.789459299994633,left,9.789690799982054,9.805340199993225,10.288443499972345,10.288453599991044,10.304967499978375,10.671800199983409,10.655634599999757,0.4380824000108987,None,10.304967499978375,,,1,2024-02-19_12h29.58.763,stroop,2023.2.3,60.04480543596543,2024-02-19 12h30.06.906223 +0100,
rojo,red,0,3,3,0,10.671800199983409,,,,,,,,,,,,,,,10.655850699986331,10.671800199983409,10.671800199983409,15.655310499976622,None,15.655423699994572,15.671344899979886,16.154992499999935,16.155003599997144,16.171212599991122,16.538237000000663,16.5218884999922,,,16.171212599991122,15.671344899979886,15.671344899979886,1,2024-02-19_12h29.58.763,stroop,2023.2.3,60.04480543596543,2024-02-19 12h30.06.906223 +0100,
verde,green,0,4,4,12,16.538237000000663,,,,,,,,,,,,,,,16.52209509999375,16.538237000000663,16.538237000000663,16.622572199994465,right,16.622873999993317,16.638370899978327,17.12178029998904,17.121791599987773,17.138062499987427,17.50471939999261,17.48862369998824,0.06822769998689182,None,17.138062499987427,,,1,2024-02-19_12h29.58.763,stroop,2023.2.3,60.04480543596543,2024-02-19 12h30.06.906223 +0100,
verde,red,0,5,5,17,17.50471939999261,,,,,,,,,,,,,,,17.488844499981496,17.50471939999261,17.50471939999261,17.906260899995686,left,17.906506499974057,17.921612499980256,18.405302399973152,18.40531769997324,18.42138939999859,18.78792179998709,18.772248799999943,0.40002869997988455,None,18.42138939999859,,,1,2024-02-19_12h29.58.763,stroop,2023.2.3,60.04480543596543,2024-02-19 12h30.06.906223 +0100,
rojo,green,0,6,6,7,18.78792179998709,,,,,,,,,,,,,,,18.772459599975264,18.78792179998709,18.78792179998709,19.105045399977826,right,19.105256599985296,19.121249799994985,19.605242899997393,19.60526119999122,19.65152859999216,20.021408499975223,20.00519369999529,0.30844699998851866,None,19.65152859999216,,,1,2024-02-19_12h29.58.763,stroop,2023.2.3,60.04480543596543,2024-02-19 12h30.06.906223 +0100,
,,,,,,20.021408499975223,,,,,,,,,,,,,,,20.005400999973062,20.021408499975223,20.021408499975223,,,,,,,,,,,,,,,,,,,,,
