stim_word,stim_color,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,thisRow.t,notes,welcome.started,welcome_txt.started,welcome.stopped,instructions.started,instructions_txt.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,init_fix.started,circle.started,init_fix.stopped,stim.started,trial_txt.started,response.started,stim.stopped,response.keys,isi.started,polygon.started,polygon.stopped,isi.stopped,trial_txt.stopped,response.stopped,participant,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,0.035848600033205,0.058146300027146935,1.0147576000308618,1.0147680000518449,1.0326490000006743,1.0326490000006743,9.706960600044113,return,8.663374700001441,None,,,,,,,,,,,,,,,1,2024-06-04_14h52.57.150,stroop,2023.2.3,60.02368534490942,2024-06-04 14h53.03.316793 +0200,
verde,green,0,0,0,11,10.790079099999275,,,,,,,,,,,,9.706989200029057,9.72645450005075,10.71398900001077,10.738457500003278,10.790079099999275,10.790079099999275,15.721820200036746,None,15.72312060004333,15.738174300000537,15.868376600032207,15.85729860002175,,,1,2024-06-04_14h52.57.150,stroop,2023.2.3,60.02368534490942,2024-06-04 14h53.03.316793 +0200,
verde,green,0,1,1,10,15.868376600032207,,,,,,,,,,,,,,,15.857543400023133,15.868376600032207,15.868376600032207,20.854658099997323,None,20.854777400032617,20.87235260003945,21.000664599996526,20.983661300037056,20.87235260003945,20.87235260003945,1,2024-06-04_14h52.57.150,stroop,2023.2.3,60.02368534490942,2024-06-04 14h53.03.316793 +0200,
,,,,,,21.000664599996526,,,,,,,,,,,,,,,20.98398040002212,21.000664599996526,21.000664599996526,,,,,,,,,,,,,,,
