stim_word,stim_color,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,thisRow.t,notes,welcome.started,welcome_txt.started,welcome.stopped,instructions.started,instructions_txt.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,init_fix.started,circle.started,circle.stopped,init_fix.stopped,circles_routine.started,click.started,word.started,greencircle.started,redcircle.started,mouse.started,circles_routine.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,0.00910289998864755,0.021859100001165643,1.004846900003031,1.004857499996433,1.0213984999863897,1.0213984999863897,1.5221821999875829,return,0.49360519999754615,None,,,,,,,,,,,,,,,,,,,1,2024-02-19_11h47.14.487,stroop,2023.2.3,59.83462905379098,2024-02-19 11h47.19.293643 +0100,
verde,red,0,0,0,18,2.5407312999886926,,,,,,,,,,,,1.522204499982763,1.5379513999796472,2.5407312999886926,2.522030799998902,,,,,,,,,,,,,,,1,2024-02-19_11h47.14.487,stroop,2023.2.3,59.83462905379098,2024-02-19 11h47.19.293643 +0100,
rojo,green,0,1,1,6,2.5407312999886926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-02-19_11h47.14.487,stroop,2023.2.3,59.83462905379098,2024-02-19 11h47.19.293643 +0100,
verde,red,0,2,2,15,2.5407312999886926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-02-19_11h47.14.487,stroop,2023.2.3,59.83462905379098,2024-02-19 11h47.19.293643 +0100,
verde,red,0,3,3,17,2.5407312999886926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-02-19_11h47.14.487,stroop,2023.2.3,59.83462905379098,2024-02-19 11h47.19.293643 +0100,
verde,green,0,4,4,13,2.5407312999886926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-02-19_11h47.14.487,stroop,2023.2.3,59.83462905379098,2024-02-19 11h47.19.293643 +0100,
verde,green,0,5,5,11,2.5407312999886926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-02-19_11h47.14.487,stroop,2023.2.3,59.83462905379098,2024-02-19 11h47.19.293643 +0100,
rojo,green,0,6,6,8,2.5407312999886926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-02-19_11h47.14.487,stroop,2023.2.3,59.83462905379098,2024-02-19 11h47.19.293643 +0100,
rojo,green,0,7,7,7,2.5407312999886926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-02-19_11h47.14.487,stroop,2023.2.3,59.83462905379098,2024-02-19 11h47.19.293643 +0100,
verde,green,0,8,8,10,2.5407312999886926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-02-19_11h47.14.487,stroop,2023.2.3,59.83462905379098,2024-02-19 11h47.19.293643 +0100,
