stim_word,stim_color,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,thisRow.t,notes,welcome.started,welcome_txt.started,welcome.stopped,instructions.started,instructions_txt.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,init_fix.started,circle.started,circle.stopped,init_fix.stopped,stim.started,trial_txt.started,response.started,stim.stopped,response.keys,response.rt,response.duration,result.started,feedback.started,feedback.stopped,result.stopped,isi.started,polygon.started,polygon.stopped,isi.stopped,trial_txt.stopped,participant,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,0.00935039998148568,0.01320689998101443,2.825974200008204,2.825984700000845,2.838100900000427,2.838100900000427,7.703436099982355,return,4.863968299992848,None,,,,,,,,,,,,,,,,,,,,,1,2024-02-19_12h25.18.956,stroop,2023.2.3,60.11085644232871,2024-02-19 12h25.26.738793 +0100,
rojo,red,0,0,0,1,8.718318700004602,,,,,,,,,,,,7.703457499999786,7.718356199999107,8.718318700004602,8.702382599993143,8.708763200003887,8.718318700004602,8.718318700004602,9.43556979999994,left,0.705540299997665,None,9.435936900001252,9.451932500000112,9.951790999999503,9.935754200007068,9.935763999994379,9.951790999999503,10.835193399980199,10.818817299994407,,1,2024-02-19_12h25.18.956,stroop,2023.2.3,60.11085644232871,2024-02-19 12h25.26.738793 +0100,
verde,green,0,1,1,11,10.835193399980199,,,,,,,,,,,,,,,,10.81903839998995,10.835193399980199,10.835193399980199,11.402193899994018,right,0.5547132999927271,None,11.402419599995483,11.418281399994157,11.918369499995606,11.902434499992523,11.902444799983641,11.918369499995606,12.80152919999091,12.785542600002373,,1,2024-02-19_12h25.18.956,stroop,2023.2.3,60.11085644232871,2024-02-19 12h25.26.738793 +0100,
verde,red,0,2,2,19,12.80152919999091,,,,,,,,,,,,,,,,12.78579439999885,12.80152919999091,12.80152919999091,13.069316799985245,left,0.2655759999761358,None,13.069532599998638,13.085113699984504,13.584981299994979,13.568491999991238,13.5685009000008,13.584981299994979,14.468152899993584,14.451820099988254,,1,2024-02-19_12h25.18.956,stroop,2023.2.3,60.11085644232871,2024-02-19 12h25.26.738793 +0100,
rojo,red,0,3,3,0,14.468152899993584,,,,,,,,,,,,,,,,14.452029100008076,14.468152899993584,14.468152899993584,14.769585800007917,right,0.3003090999845881,None,14.769803400005912,14.784992700006114,15.284685699996771,15.268790500005707,15.268800299993018,15.284685699996771,16.168409200006863,16.151952099986374,,1,2024-02-19_12h25.18.956,stroop,2023.2.3,60.11085644232871,2024-02-19 12h25.26.738793 +0100,
verde,green,0,4,4,14,16.168409200006863,,,,,,,,,,,,,,,,16.152164099999936,16.168409200006863,16.168409200006863,16.435557499993593,left,0.25765000001410954,None,16.43577969999751,16.451615600002697,16.951419199991506,16.93529639998451,16.93531030000304,16.951419199991506,17.834960399981355,17.818697999988217,,1,2024-02-19_12h25.18.956,stroop,2023.2.3,60.11085644232871,2024-02-19 12h25.26.738793 +0100,
verde,green,0,5,5,10,17.834960399981355,,,,,,,,,,,,,,,,17.818917700002203,17.834960399981355,17.834960399981355,18.119175800005905,right,0.2688371999829542,None,18.11939269999857,18.13472780000302,18.634874499985017,18.618575500004226,18.618586399999913,18.634874499985017,19.518204699998023,19.501894299988635,,1,2024-02-19_12h25.18.956,stroop,2023.2.3,60.11085644232871,2024-02-19 12h25.26.738793 +0100,
rojo,red,0,6,6,2,19.518204699998023,,,,,,,,,,,,,,,,19.50211479997961,19.518204699998023,19.518204699998023,30.601395200006664,right,11.079233700002078,None,30.60162689999561,30.617503499990562,31.117590499983635,31.10128909998457,31.101298199995654,31.117590499983635,32.00094120000722,31.984661499998765,24.51775979998638,1,2024-02-19_12h25.18.956,stroop,2023.2.3,60.11085644232871,2024-02-19 12h25.26.738793 +0100,
,,,,,,32.00094120000722,,,,,,,,,,,,,,,,31.98488410000573,32.00094120000722,32.00094120000722,43.08505170000717,right,11.082938499981537,None,43.085279099992476,43.10028189999866,43.60032919998048,43.58404839999275,43.58405720000155,43.60032919998048,,,37.00074379998841,,,,,,,
